CODCNH,NOMBRE,DIRECCION,TELEFONO,TELEFONO2,TELEFAX,CODMU,MUNICIPIOS,CODPROV,PROVINCIAS,CODAUTO,COMUNIDADES,CODPOSTAL,NCAMAS,CODFI,FINALIDAD ASISITENCIAL,CODPAT,DEPENDENCIA PATRIMONIAL,CODFU,DEPENDENCIA FUNCIONAL,ACREDOCENT,ESCOMPLE,FORCOMPLE,CODIDCOM,ALTA,CERRADO,CAPITAL,CIERREFECH,CONCIERTO,EMAIL,TAC,RM,GAM,HEM,ASD,LIT,BCO,ALI,SPECT,PET,MAMOS,DO,DIAL,address,location,point,Latitude,Longitude,Altitude
20100,QUIRONSALUD HOSPITAL ALBACETE,"PLAZA DEL MADROÑO, 11",967247100.0,,967245183.0,20030,Albacete,2,ALBACETE,8,CASTILLA-LA MANCHA,02008,65,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,albacete@quironsalud.es,1,2,1,1,0,0,0,0,0,0,1,0,0,"PLAZA DEL MADROÑO, 11,Albacete,02008","Plaza de Madroño 11, Albacete, Castilla-La Mancha 02008, Spain","(38.9854336, -1.8440492, 0.0)",38.9854336,-1.8440492,0.0
20117,HOSPITAL UNIVERSITARIO NUESTRA SEÑORA DEL PERPETUO SOCORRO,"SEMINARIO, 4",967597799.0,,967597711.0,20030,Albacete,2,ALBACETE,8,CASTILLA-LA MANCHA,02006,0,1,GENERAL,1,SEGURIDAD SOCIAL,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,S,N,S,20019.0,N,N,S,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,"SEMINARIO, 4,Albacete,02006","Calle del Seminario, Albacete, Castilla-La Mancha 02006, Spain","(38.9904149500036, -1.87177059998311, 0.0)",38.9904149500036,-1.87177059998311,0.0
20136,HOSPITAL GENERAL DE ALMANSA,"AVDA. ADOLFO SUÁREZ, S/N",967339526.0,967339529.0,967339546.0,20096,Almansa,2,ALBACETE,8,CASTILLA-LA MANCHA,02640,93,1,GENERAL,6,COMUNIDAD AUTÓNOMA,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,N,N,N,,N,N,N,,N,gai.almansa@sescam.jccm.es,1,0,0,0,0,0,0,0,0,0,2,0,0,"AVDA. ADOLFO SUÁREZ, S/N,Almansa,02640","Avenida Adolfo Suárez, Almansa, Castilla-La Mancha 02640, Spain","(38.8653577122274, -1.08790578214205, 0.0)",38.8653577122274,-1.08790578214205,0.0
20147,HOSPITAL GENERAL DE VILLAROBLEDO,"AVENIDA MIGUEL DE CERVANTES, S/N",967133000.0,,967133002.0,20812,Villarrobledo,2,ALBACETE,8,CASTILLA-LA MANCHA,02600,114,1,GENERAL,6,COMUNIDAD AUTÓNOMA,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,N,N,N,,N,N,N,,N,,1,0,0,0,0,0,0,0,0,0,1,0,0,"AVENIDA MIGUEL DE CERVANTES, S/N,Villarrobledo,02600","Calle de Cervantes, Villarrobledo, Castilla-La Mancha 02600, Spain","(39.2631248558657, -2.59089275415665, 0.0)",39.2631248558657,-2.59089275415665,0.0
20158,"CENTRO DE ATENCIÓN A LA SALUD MENTAL ""LA MILAGROSA""","TRAVESÍA DE LA IGUALDAD, S/N",967192350.0,,967248989.0,20030,Albacete,2,ALBACETE,8,CASTILLA-LA MANCHA,02006,0,6,PSIQUIÁTRICO,7,DIPUTACIÓN O CABILDO,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,S,N,S,20019.0,N,N,S,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,"TRAVESÍA DE LA IGUALDAD, S/N,Albacete,02006","Travesía de la Igualdad, Albacete, Castilla-La Mancha 02005, Spain","(39.0097911530933, -1.8675389919353, 0.0)",39.0097911530933,-1.8675389919353,0.0
30015,HOSPITAL GENERAL UNIVERSITARIO DE ALICANTE,"AVENIDA PINTOR BAEZA, 12",965933000.0,,965245971.0,30149,Alicante/Alacant,3,ALICANTE,10,COMUNIDAD VALENCIANA,03010,794,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,S,,N,mena_lui@gva.es,3,2,0,2,5,1,0,0,0,0,2,1,32,"AVENIDA PINTOR BAEZA, 12,Alicante/Alacant,03010","Avenida Pintor Baeza, Alicante/Alacant, Comunidad Valenciana / Comunitat Valenciana 03010, Spain","(38.3626718500183, -0.487416550020361, 0.0)",38.3626718500183,-0.487416550020361,0.0
30036,CLÍNICA VISTAHERMOSA GRUPO HLA,"AVENIDA DENIA, 103",965268000.0,,965262405.0,30149,Alicante/Alacant,3,ALICANTE,10,COMUNIDAD VALENCIANA,03015,106,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,S,N,N,,N,N,S,,S,katja.smudde@grupohla.com,1,2,0,1,1,0,0,0,0,0,1,1,22,"AVENIDA DENIA, 103,Alicante/Alacant,03015","Avenida de Denia, Alicante/Alacant, Comunidad Valenciana / Comunitat Valenciana 03015, Spain","(38.3741877499948, -0.455990193633404, 0.0)",38.3741877499948,-0.455990193633404,0.0
30041,VITHAS HOSPITAL PERPETUO INTERNACIONAL,"PLAZA DOCTOR GÓMEZ ULLA, 15",965201100.0,,965144890.0,30149,Alicante/Alacant,3,ALICANTE,10,COMUNIDAD VALENCIANA,03013,103,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,perpetuosocorro@perpetuosocorro.nehos.com,1,1,1,1,0,0,0,0,0,0,1,1,10,"PLAZA DOCTOR GÓMEZ ULLA, 15,Alicante/Alacant,03013","Plaza del Doctor Gómez Ulla, Alicante/Alacant, Comunidad Valenciana / Comunitat Valenciana 03013, Spain","(38.3533943007708, -0.476833047892997, 0.0)",38.3533943007708,-0.476833047892997,0.0
30067,HOSPITAL VIRGEN DE LOS LIRIOS,"POLÍGONO CARAMAXEL, S/N",965537400.0,,965537448.0,30092,Alcoy/Alcoi,3,ALICANTE,10,COMUNIDAD VALENCIANA,03804,305,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,falip_ros@gva.es,1,0,0,0,0,0,0,0,0,0,1,1,38,"POLÍGONO CARAMAXEL, S/N,Alcoy/Alcoi,03804","Alcoy, Valencia 03804, Spain","(38.71583938598633, -0.47230398654937744, 0.0)",38.71583938598633,-0.47230398654937744,0.0
30089,SANATORIO SAN JORGE S.L.,"CALLE OLIVER, 55",965330400.0,,965330400.0,30092,Alcoy/Alcoi,3,ALICANTE,10,COMUNIDAD VALENCIANA,03802,26,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,S,administracion@sanatoriosanjorge.com,1,0,0,0,0,0,0,0,0,0,1,1,0,"CALLE OLIVER, 55,Alcoy/Alcoi,03802","Calle Oliver 55, Alcoy/Alcoi, Comunidad Valenciana / Comunitat Valenciana 03802, Spain","(38.6929589, -0.4860601, 0.0)",38.6929589,-0.4860601,0.0
30092,HOSPITAL CLÍNICA BENIDORM,"AVENIDA ALFONSO PUCHADES, 8",965853850.0,,965864345.0,30319,Benidorm,3,ALICANTE,10,COMUNIDAD VALENCIANA,03501,166,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,S,N,N,,N,N,N,,S,hospital@clinicabenidorm.com,2,2,1,1,1,0,0,1,1,1,1,1,26,"AVENIDA ALFONSO PUCHADES, 8,Benidorm,03501","Avenida de Alfonso Puchades, Benidorm, Comunidad Valenciana / Comunitat Valenciana 03501, Spain","(38.5439673330566, -0.130181260354012, 0.0)",38.5439673330566,-0.130181260354012,0.0
30128,HOSPITAL SAN CARLOS DE DENIA GRUPO HLA,"PARTIDA MADRIGUERES SUD, 8",965781550.0,,965789172.0,30633,Dénia,3,ALICANTE,10,COMUNIDAD VALENCIANA,03700,31,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,pedro.esteban@grupohla.com,1,1,0,0,0,0,0,0,0,0,1,1,0,"PARTIDA MADRIGUERES SUD, 8,Dénia,03700","Calle Madrigueres Sud 8, Dénia, Comunidad Valenciana / Comunitat Valenciana 03700, Spain","(38.83640908753859, 0.08569351092097126, 0.0)",38.83640908753859,0.08569351092097126,0.0
30152,HOSPITAL GENERAL UNIVERSITARIO DE ELCHE,"CAMÍ ALMAZARA, 11",966616900.0,,966616707.0,30651,Elche/Elx,3,ALICANTE,10,COMUNIDAD VALENCIANA,03203,492,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,secgerencia_elx@gva.es,2,2,0,1,0,1,0,1,0,0,2,1,30,"CAMÍ ALMAZARA, 11,Elche/Elx,03203","Camí de la Almazara 11, Elche/Elx, Comunidad Valenciana / Comunitat Valenciana 03203, Spain","(38.2596554, -0.6851588, 0.0)",38.2596554,-0.6851588,0.0
30165,HOSPITAL GENERAL UNIVERSITARIO DE ELDA-VIRGEN DE LA SALUD,"CARRETERA SAX, S/N",966989000.0,966989010.0,965398173.0,30664,Elda,3,ALICANTE,10,COMUNIDAD VALENCIANA,03600,513,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,izquierdo_alf@gva.es,2,1,0,0,0,0,0,0,0,0,2,1,34,"CARRETERA SAX, S/N,Elda,03600","Carretera de Sax, Elda, Comunidad Valenciana / Comunitat Valenciana 03600, Spain","(38.48579177114, -0.800546231146524, 0.0)",38.48579177114,-0.800546231146524,0.0
30187,HOSPITAL SANT VICENT DEL RASPEIG,"CALLE LILLO JUAN, 137",965907700.0,,965907703.0,31225,San Vicente del Raspeig/Sant Vicent del Raspeig,3,ALICANTE,10,COMUNIDAD VALENCIANA,03690,179,13,GERIATRÍA Y/O LARGA ESTANCIA,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,N,N,N,,N,N,N,,N,hospitalsanvicente@gva.es,1,0,0,0,0,0,0,0,0,0,0,0,0,"CALLE LILLO JUAN, 137,San Vicente del Raspeig/Sant Vicent del Raspeig,03690","Calle de Juan Lillo 137, San Vicente del Raspeig/Sant Vicent del Raspeig, Comunidad Valenciana / Comunitat Valenciana 03690, Spain","(38.40495721456169, -0.5300609158888444, 0.0)",38.40495721456169,-0.5300609158888444,0.0
30190,SANATORIO SAN FRANCISCO DE BORJA FONTILLES,"CARRETERA ORBA-VALL DE LAGUAR, KM 4",965583350.0,,965583376.0,31376,"Vall de Laguar, la",3,ALICANTE,10,COMUNIDAD VALENCIANA,03791,96,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,fontilles@fontilles.org,0,0,0,0,0,0,0,0,0,0,0,0,0,"CARRETERA ORBA-VALL DE LAGUAR, KM 4,Vall de Laguar, la,03791","Fleix, Valencia, Spain","(38.77568435668945, -0.129612997174263, 0.0)",38.77568435668945,-0.129612997174263,0.0
30204,HOSPITAL MARINA BAIXA DE LA VILA JOIOSA,"AVENIDA ALCALDE EN JAUME BOTELLA MAYOR, 7",966859800.0,,966859900.0,31395,"Villajoyosa/Vila Joiosa, la",3,ALICANTE,10,COMUNIDAD VALENCIANA,03570,286,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,S,louis_ros@gva.es,2,0,0,0,0,0,0,0,0,0,1,0,9,"AVENIDA ALCALDE EN JAUME BOTELLA MAYOR, 7,Villajoyosa/Vila Joiosa, la,03570","Calle Jaime Botella Mayor, Villajoyosa/la Vila Joiosa, Comunidad Valenciana / Comunitat Valenciana 03570, Spain","(38.5240269774137, -0.197790252285006, 0.0)",38.5240269774137,-0.197790252285006,0.0
30211,HOSPITAL VEGA BAJA DE ORIHUELA,"CARRETERA ORIHUELA - ALMORADÍ, S/N",966749000.0,,966749069.0,30993,Orihuela,3,ALICANTE,10,COMUNIDAD VALENCIANA,03314,361,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,,2,1,0,0,0,0,0,0,0,0,1,0,0,"CARRETERA ORIHUELA - ALMORADÍ, S/N,Orihuela,03314","Carretera de Orihuela Almoradi, Orihuela, Comunidad Valenciana / Comunitat Valenciana 03314, Spain","(38.0895049297747, -0.860168584627312, 0.0)",38.0895049297747,-0.860168584627312,0.0
30226,"HOSPITAL INTERNACIONAL MEDIMAR, S.A.","AVENIDA DENIA, 78",965162200.0,,965159038.0,30149,Alicante/Alacant,3,ALICANTE,10,COMUNIDAD VALENCIANA,03016,66,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,info@hospitalmedimar.com,1,1,1,1,0,1,0,0,0,1,1,1,0,"AVENIDA DENIA, 78,Alicante/Alacant,03016","Avenida de Denia 78, Alicante/Alacant, Comunidad Valenciana / Comunitat Valenciana 03002, Spain","(38.3520682, -0.4733522, 0.0)",38.3520682,-0.4733522,0.0
30232,HOSPITAL PSIQUIÁTRICO PENITENCIARIO DE FONTCALENT,"COMPLEJO CENTRO PENITENCIARIO FONTCALENT, 1",965102222.0,965101230.0,965101761.0,30149,Alicante/Alacant,3,ALICANTE,10,COMUNIDAD VALENCIANA,03113,432,6,PSIQUIÁTRICO,4,MINISTERIO DE INTERIOR,14,ADMINISTRACIÓN PENITENCIARIA,N,N,N,,N,N,S,,N,director.alicantep@dgip.mir.es,0,0,0,0,0,0,0,0,0,0,0,0,0,"COMPLEJO CENTRO PENITENCIARIO FONTCALENT, 1,Alicante/Alacant,03113","Carretera al Centro Penitenciario, Alicante/Alacant, Comunidad Valenciana / Comunitat Valenciana 03113, Spain","(38.3484665122384, -0.558718537246163, 0.0)",38.3484665122384,-0.558718537246163,0.0
30250,HOSPITAL UNIVERSITARIO SAN JUAN DE ALICANTE,"CARRETERA NACIONAL 332, ALICANTE-VALENCIA, S/N",965169400.0,,965169520.0,31199,Sant Joan d'Alacant,3,ALICANTE,10,COMUNIDAD VALENCIANA,03550,396,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,fernandez_asu@gva.es,2,0,2,1,0,0,0,2,0,0,1,0,0,"CARRETERA NACIONAL 332, ALICANTE-VALENCIA, S/N,Sant Joan d'Alacant,03550","Carretera Nacional 332 & Carretera Alicante-Valencia, Sant Joan d'Alacant, Comunidad Valenciana / Comunitat Valenciana 03550, Spain","(38.3976164, -0.4296895, 0.0)",38.3976164,-0.4296895,0.0
30279,CENTRO MÉDICO ACUARIO,"AVENIDA DEL VERGEL, 11",966476260.0,,966477115.0,30263,Beniarbeig,3,ALICANTE,10,COMUNIDAD VALENCIANA,03778,19,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,S,N,N,,N,acuario@acuario.org,1,0,0,0,0,0,0,0,0,0,1,1,0,"AVENIDA DEL VERGEL, 11,Beniarbeig,03778","Avenida de Vergel 11, Beniarbeig, Comunidad Valenciana / Comunitat Valenciana 03778, Spain","(38.82334580783038, -0.001085546996532279, 0.0)",38.82334580783038,-0.001085546996532279,0.0
30298,HOSPÌTAL QUIRONSALUD TORREVIEJA,"PARTIDA DE LA LOMA, S/N",966921313.0,,966922706.0,31339,Torrevieja,3,ALICANTE,10,COMUNIDAD VALENCIANA,03184,132,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,S,antonio.domenech@quironsalud.es,2,1,1,1,0,0,0,1,0,1,1,1,0,"PARTIDA DE LA LOMA, S/N,Torrevieja,03184","Torrevieja, Valencia 03184, Spain","(37.98698425292969, -0.6955779790878296, 0.0)",37.98698425292969,-0.6955779790878296,0.0
30328,HOSPITAL IMED LEVANTE,"CALLE DR SANTIAGO RAMÓN Y CAJAL, 7",966878787.0,966878783.0,965861756.0,30149,Alicante/Alacant,3,ALICANTE,10,COMUNIDAD VALENCIANA,03503,100,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,info@hospitaldelevante.com,1,1,1,1,1,0,0,0,0,0,1,1,15,"CALLE DR SANTIAGO RAMÓN Y CAJAL, 7,Alicante/Alacant,03503","Calle del Doctor Santiago Ramón y Cajal 7, Benidorm, Comunidad Valenciana / Comunitat Valenciana 03503, Spain","(38.5411167, -0.1059887, 0.0)",38.5411167,-0.1059887,0.0
30339,HOSPITAL UNIVERSITARIO DE TORREVIEJA,"CARRETERA CV95 SAN MIGUEL DE SALINAS-TORREVIEJA PARTIDA LA CEÑUELA, S/N",965721200.0,,965721368.0,31339,Torrevieja,3,ALICANTE,10,COMUNIDAD VALENCIANA,03186,269,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,jdzafrilla@torrevieja-salud.com,1,1,0,1,0,0,0,0,0,0,1,1,40,"CARRETERA CV95 SAN MIGUEL DE SALINAS-TORREVIEJA PARTIDA LA CEÑUELA, S/N,Torrevieja,03186","Torrevieja, Valencia, Spain","(37.97758483886719, -0.6831889748573303, 0.0)",37.97758483886719,-0.6831889748573303,0.0
30340,HOSPITAL DE DENIA,"PARTIDA BENIADLÀ, S/N",966429000.0,,966427986.0,30633,Dénia,3,ALICANTE,10,COMUNIDAD VALENCIANA,03700,266,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,gerencia@marinasalud.es,2,1,0,1,1,0,0,0,0,0,1,1,26,"PARTIDA BENIADLÀ, S/N,Dénia,03700","Denia, Valencia 03700, Spain","(38.84056091308594, 0.10842499881982803, 0.0)",38.84056091308594,0.10842499881982803,0.0
30351,HOSPITAL LA PEDRERA,"PARTIDA PLANA D'EST, 4",966467170.0,966467177.0,966467287.0,30633,Dénia,3,ALICANTE,10,COMUNIDAD VALENCIANA,03700,107,13,GERIATRÍA Y/O LARGA ESTANCIA,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,N,N,N,,N,N,N,,N,direccion_hlapedrera@gva.es,1,0,0,0,0,0,0,0,0,0,0,0,0,"PARTIDA PLANA D'EST, 4,Dénia,03700","Partida Plana d'Elies, Dénia, Comunidad Valenciana / Comunitat Valenciana 03700, Spain","(38.8260347000073, 0.0916320501575121, 0.0)",38.8260347000073,0.0916320501575121,0.0
30362,CENTRO DE REHABILITACIÓN NEUROLÓGICA CASAVERDE,"CALLE PONENT, 15",965950711.0,,965950865.0,30909,Mutxamel,3,ALICANTE,10,COMUNIDAD VALENCIANA,03110,40,11,REHABILITACIÓN PSICOFÍSICA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,recepcion.muchamiel@grupocasaverde.com,0,0,0,0,0,0,0,0,0,0,0,0,0,"CALLE PONENT, 15,Mutxamel,03110","Calle de Poniente 15, Mutxamel, Comunidad Valenciana / Comunitat Valenciana 03110, Spain","(38.4205961, -0.4699361, 0.0)",38.4205961,-0.4699361,0.0
30373,HOSPITAL UNIVERSITARIO VINALOPO,"TONICO SANSANO MORA, 14",966679800.0,,966632102.0,30651,Elche/Elx,3,ALICANTE,10,COMUNIDAD VALENCIANA,03293,214,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,N,N,N,,N,N,N,,N,narques@vinaloposalud.com,1,1,0,1,2,1,0,0,1,1,1,1,27,"TONICO SANSANO MORA, 14,Elche/Elx,03293","Calle Tonico Sansano Mora 14, Elche/Elx, Comunidad Valenciana / Comunitat Valenciana 03293, Spain","(38.2545978, -0.7152393, 0.0)",38.2545978,-0.7152393,0.0
